ID;Vraag;Volwassenheidsniveau 1;Volwassenheidsniveau 2;Volwassenheidsniveau 3;Volwassenheidsniveau 4;Volwassenheidsniveau 5
HR.01;We werven medewerkers volgens ons personeelsbeleid, met screening.;Werving van it-medewerkers gebeurt zonder plan.;Wervingsprocessen zijn vastgelegd. We screenen soms, maar niet officieel.;Werving volgt ons beleid en procedures. We screenen op basis van hoe belangrijk de functie is, voor medewerkers en leveranciers. Het schoolbestuur keurt het goed.;We checken regelmatig of ons wervingsproces werkt.;We verbeteren werving op basis van checks en risico’s. Tekorten melden we aan het schoolbestuur.
HR.02;We checken of medewerkers genoeg opleiding en ervaring hebben.;Training is er alleen als het toevallig komt. Er is geen certificering.;We hebben processen voor training en persoonlijke plannen.;Training is vastgelegd en uitgevoerd. We checken of medewerkers de juiste vaardigheden hebben. Het schoolbestuur keurt het goed.;We weten welke it-vaardigheden nodig zijn en zorgen voor certificering. We volgen persoonlijke plannen.;We checken elk jaar of training werkt en maken het beter.
HR.03;Er is een back-upplan voor belangrijke medewerkers.;Er is geen back-upplan. We weten niet wie cruciaal is.;Back-up wordt per afdeling geregeld.;We hebben plannen voor opvolging en training om afhankelijkheid te verminderen. Belangrijke rollen zijn vastgelegd.;Alle belangrijke mensen zijn bekend en we checken dat regelmatig.;We checken of ons back-upplan werkt en past bij onze strategie.
HR.04;Bij functiewijzigingen of ontslag nemen we meteen actie.;Bij wijzigingen of ontslag doen we niets of alleen wat toevallig.;Toegangsrechten veranderen we bij ontslag, maar niet altijd op tijd.;We hebben een proces om kennis over te dragen en rechten aan te passen bij wijzigingen. Dat minimaliseert risico’s.;We praten bij ontslag en checken of rechten op tijd veranderen.;We checken en verbeteren ons proces voor wijzigingen steeds.
HR.05;We dragen kennis over zodat gebruikers en beheerders systemen goed kunnen gebruiken.;Kennisoverdracht gebeurt niet of alleen toevallig.;Er zijn informele processen voor kennisoverdracht.;We hebben een vast proces om kennis over te dragen, zodat systemen goed werken. Dat geldt voor gebruikers en beheerders.;We checken regelmatig of onze documentatie genoeg is.;Kennisoverdracht zorgt dat systemen efficiënt werken, voor gebruikers en beheerders.
HR.06;Er is een programma om gebruikers bewust te maken van beveiliging.;Er zijn geen bewustwordingsactiviteiten.;Activiteiten zijn per afdeling.;Er is een programma in ons beveiligingsplan, dat iedereen volgt.;Het programma heeft een verplichte e-learning met examen. We volgen wie het doet en melden dat.;We kijken of het programma werkt. Als incidenten door onwetendheid komen, passen we het aan.
CO.01;Er zijn procedures om wijzigingen in de configuratiedatabase (CMDB) te beheren.;Er is geen procedure. Iedereen doet het anders.;Er is een procedure om items te beheren, maar niet officieel.;;We checken regelmatig onze documentatie en de database. We verbeteren het en melden dat aan het management.;We analyseren steeds of er fouten zijn en melden trends aan het management. Alles is geïntegreerd en automatisch.
CO.02;We hebben een tool en opslag voor configuratie-items.;We beheren items zonder vast plan. Documentatie klopt niet altijd.;We gebruiken soms tools, maar niet overal hetzelfde.;Alle middelen en wijzigingen staan in een centrale opslag. We volgen relaties en gebruiken een tool. Baselines zijn vastgelegd.;We gebruiken automatische tools om alles stabiel te houden. We checken fysiek en analyseren wijzigingen.;Alles zit in een CMDB met complete info. Processen zijn automatisch en we rapporteren regelmatig.
IM.01;Er is een vast proces voor incidentmanagement.;Er is geen beleid. Incidenten doen we per persoon.;Er is een informeel proces voor grote incidenten.;We hebben een vast beleid voor incidenten. Rollen zijn duidelijk. We registreren en prioriteren ze. Beveiligingsincidenten pakken we op tijd aan.;We analyseren incidenten proactief. Er is een responsteam. We checken of het proces werkt.;Alles is automatisch geïntegreerd. Systemen waarschuwen ons en we verbeteren steeds.
IM.02;Er zijn procedures om incidenten te escaleren als ze niet op tijd opgelost zijn.;Er is geen escalatiebeleid. Reacties zijn willekeurig.;Er is een informeel escalatieproces zonder criteria.;We hebben een vast escalatieproces met criteria. Teams zijn getraind.;Escalaties gaan gestructureerd. We melden grote incidenten en checken het proces.;We evalueren escalaties steeds en verbeteren ze.
IM.03;We hebben manieren om beveiligingsincidenten snel te stoppen en te herstellen.;Er zijn geen plannen voor beveiligingsincidenten.;Er is een informele procedure voor incidenten.;We hebben plannen voor preventie en herstel van incidenten. Rollen zijn vastgelegd.;Plannen betrekken alle afdelingen en externe partijen. We melden alles aan het schoolbestuur.;We verbeteren preventie en herstel steeds met analyses.
IM.04;Er is een proces om vaak voorkomende incidenten als problemen aan te pakken.;Er is geen probleembeleid.;Er is een informeel proces voor problemen.;We hebben een vast beleid om problemen te vinden en op te lossen. Rollen zijn duidelijk.;We analyseren problemen proactief en minimaliseren fouten.;We gebruiken tools om problemen te volgen en te verbeteren.
CH.01;Er zijn procedures voor wijzigingsbeheer.;Er is geen beleid. Wijzigingen gaan willekeurig.;Er is beleid voor grote wijzigingen, maar informeel.;Wijzigingen gaan gestandaardiseerd.;Beleid is volledig en consistent. We checken het regelmatig.;We evalueren en verbeteren wijzigingsbeheer steeds.
CH.02;Alle wijzigingen worden beoordeeld op impact.;Er is geen beoordelingsproces.;We analyseren impact informeel.;We hebben een vast proces om impact te checken. Goedkeuring is formeel.;Beoordelingen zijn consistent. Verstoringen zijn minimaal.;We evalueren en verbeteren onze beoordeling steeds.
CH.03;Noodwijzigingen worden goed afgehandeld.;Er is geen procedure voor noodwijzigingen.;Er is een informeel proces voor noodwijzigingen.;We hebben een vast proces voor noodwijzigingen. Alles is gedocumenteerd.;Noodwijzigingen gaan altijd goed. We checken de kwaliteit.;We verbeteren noodwijzigingen steeds en rapporteren afwijkingen.
CH.04;Er is een veilige testomgeving.;Er is geen testomgeving.;We hebben een informele testomgeving.;Er is een vaste testomgeving die lijkt op productie.;We bewaken en checken de testomgeving regelmatig.;We verbeteren de testomgeving steeds met tools.
ID;Vraag;Volwassenheidsniveau 1;Volwassenheidsniveau 2;Volwassenheidsniveau 3;Volwassenheidsniveau 4;Volwassenheidsniveau 5
CH.05;Voorafgaand aan migratie naar de productieomgeving worden wijzigingen op onafhankelijke wijze getest in overeenstemming met het gedefinieerde testplan. Het plan houdt rekening met beveiliging en prestaties.;Er is geen vast beleid of regel voor het testen van wijzigingen voordat ze in de productieomgeving komen. Wie wat doet bij het testen is niet duidelijk, en het testen gebeurt alleen als iemand het toevallig doet, zonder een plan. Er wordt niet gekeken naar beveiliging of hoe goed het systeem werkt.;Er is een informele manier om wijzigingen te testen voordat ze in gebruik gaan, maar die is niet officieel vastgelegd. Sommige mensen hebben een taak bij het testen, maar dat is niet goed afgesproken. Er is een eenvoudig testplan, maar dat zegt niet altijd iets over beveiliging of prestaties. De resultaten van het testen worden soms opgeschreven, maar niet altijd, en niemand weet precies hoe lang die bewaard moeten blijven.;We hebben een officieel beleid dat zegt hoe we wijzigingen moeten testen voordat ze in de productieomgeving komen. Dit beleid is geschreven, gedeeld met iedereen en goedgekeurd. Er zijn duidelijke taken voor wie wat doet bij het testen. We maken een testplan voordat we beginnen, en daarin staat hoe we kijken naar beveiliging (zodat er geen risico’s zijn) en prestaties (zodat het systeem goed werkt). De testen doen we apart van de normale omgeving. We schrijven op wat we vinden en bewaren dat op een vaste manier. Als het niet goed gaat, hebben we een plan om terug te gaan naar de oude situatie.;Alle belangrijke wijzigingen in onze systemen worden zorgvuldig getest, zodat er geen problemen komen in het werk of met de beveiliging. We testen alleen in een speciale testomgeving, niet in de echte omgeving. We controleren of het systeem veilig is en snel genoeg werkt. Regelmatig kijken we of ons testproces en onze plannen goed zijn, en we maken ze beter als dat nodig is. Dit doen we minstens één keer per jaar, zodat we zeker weten dat alles klopt.;Ons beleid voor testen wordt steeds verbeterd, en we kijken goed naar wat er beter kan. Iedereen die meedoet aan testen heeft een duidelijke taak die steeds gecontroleerd wordt. Als er iets fout gaat bij het testen, zoeken we uit waarom en lossen we het op. We vertellen het management hoe het gaat met een rapport, minstens één keer per jaar, en gebruiken dat om ons werk te verbeteren. We zorgen dat we altijd de nieuwste eisen aan rapportages volgen en passen die aan als dat nodig is.
CH.06;Na het testen wordt het gewijzigde systeem op gecontroleerde wijze en volgens het implementatieplan overgezet naar de productieomgeving. Goedkeuring wordt verkregen van belangrijke stakeholders, zoals gebruikers, systeemeigenaar en operationeel management. Waar nodig wordt het gewijzigde systeem enige tijd naast het oude systeem gebruikt en worden gedrag en resultaten vergeleken.;Er is geen beleid of plan om gewijzigde systemen naar de productieomgeving te brengen. Als we iets overzetten, gebeurt dat zonder vaste stappen, en niemand weet wie wat moet doen. Er wordt niet officieel goedkeuring gevraagd aan belangrijke mensen, zoals gebruikers of managers.;Er is een simpele, informele manier om systemen over te zetten na het testen, maar die is niet goed vastgelegd. Sommige belangrijke mensen, zoals gebruikers of managers, geven goedkeuring, maar dat is niet altijd duidelijk geregeld. We maken soms een plan hoe we het overzetten, maar dat is niet verplicht. Meestal testen we het nieuwe systeem kort voordat het echt gebruikt wordt.;We hebben een officieel beleid dat zegt hoe we een getest systeem naar de productieomgeving brengen. Dit beleid is opgeschreven en gedeeld met iedereen. We gebruiken een stappenplan (OTAP: Ontwikkeling, Test, Acceptatie, Productie) en vragen goedkeuring aan belangrijke mensen, zoals gebruikers, de systeemeigenaar en managers. Hun goedkeuring wordt officieel vastgelegd. Wie wat mag doen in elke stap is duidelijk gescheiden. Als het nodig is (bijvoorbeeld bij grote veranderingen), laten we het nieuwe systeem een tijdje naast het oude draaien om te kijken of alles goed werkt. We testen het dan extra en schrijven de resultaten op.;Ons beleid voor het overzetten van systemen volgen we altijd precies. We zorgen dat alles wat we doen, zoals documentatie en plannen voor noodgevallen, up-to-date is. Pas als alle stappen klaar zijn en gecontroleerd, is de verandering af. We kijken regelmatig, minstens één keer per jaar, of ons proces goed werkt en verbeteren het waar nodig. Dit helpt ons om fouten te voorkomen en alles soepel te laten lopen.;We maken ons proces om systemen over te zetten steeds beter door goed te kijken naar wat werkt en wat niet. Iedereen die meedoet heeft een duidelijke taak, en we controleren die taken vaak. Als er problemen zijn bij het testen of overzetten, zoeken we uit waarom en lossen we het op. We sturen regelmatig een rapport naar het management over hoe het gaat, en gebruiken dat om ons werk te verbeteren. We zorgen dat onze rapportages altijd passen bij wat er nu nodig is en passen ze aan als dat moet.
SD.01;Er is een gestructureerde aanpak voor de interne ontwikkeling en aanschaf van software ingevoerd, in de vorm van een levenscyclus voor veilige softwareontwikkeling. Deze aanpak zorgt ervoor dat potentiële risico’s voor bedrijfsvoering adequaat worden beoordeeld en beperkt, en dat de aspecten vertrouwelijkheid, integriteit en beschikbaarheid worden meegenomen. Voor elke nieuwe ontwikkeling of acquisitie is goedkeuring vereist door het juiste niveau van school- en it-management.;Er is geen vaste manier om software te maken of te kopen. Alles gebeurt zonder plan, en we kijken niet naar risico’s of beveiliging. Niemand hoeft iets goed te keuren.;We hebben een paar simpele regels om software veiliger te maken, maar die gebruiken we niet altijd. Sommige mensen kijken naar risico’s of beveiliging, maar dat is niet verplicht. We vragen niet altijd goedkeuring aan het management als we iets nieuws maken of kopen.;We hebben een officieel plan om software te maken of te kopen, en dat is goed vastgelegd. Dit plan zorgt dat we software veilig ontwikkelen, met regels die altijd gebruikt worden. We kijken naar risico’s voor ons werk en zorgen dat de software vertrouwelijk, kloppend en beschikbaar is. Voordat we iets nieuws maken of kopen, vragen we goedkeuring aan de juiste mensen van het schoolbestuur en it-management. In ons plan staan vaste stappen om risico’s te checken en te testen, en we schrijven alles op.;We kijken regelmatig, minstens één keer per jaar, of ons plan om software te maken of te kopen goed werkt. We passen het aan als dat nodig is, bijvoorbeeld als er nieuwe risico’s zijn. Iedereen die software maakt, krijgt een verplichte training over beveiliging en risico’s, zodat ze weten wat ze moeten doen.;We controleren ons plan steeds door te kijken naar nieuwe gevaren, en we doen daar risicoanalyses voor. Dit geldt voor zowel software die we maken als die we kopen. Als er risico’s overblijven, vertellen we dat aan het hoge it-management. Zo zorgen we dat ons werk altijd veilig en goed blijft, en we leren van wat we doen.
SD.02;Medewerkers en ontwikkelaars die betrokken zijn bij de ontwikkeling en implementatie van wijzigingen in applicaties en ondersteunende besturingssystemen en databases, hebben geen schrijftoegang tot de productieomgeving. Medewerkers en ontwikkelaars die verantwoordelijk zijn voor het vrijgeven van de broncode voor productie hebben geen schrijftoegang tot de test- of ontwikkelomgeving.;Er is geen regel over wie toegang heeft tot de productieomgeving. Ontwikkelaars kunnen daar zomaar dingen veranderen zonder dat iemand het controleert.;We hebben een simpele regel dat ontwikkelaars normaal geen toegang hebben tot de productieomgeving, maar die is niet officieel. Als er iets dringends is, zoals een groot probleem, krijgen ze toch toegang, maar dat is niet goed geregeld.;We hebben een officieel beleid dat zegt wie toegang heeft tot wat, en dat is goedgekeurd door het schoolbestuur. Ontwikkelaars die software maken, mogen niet in de productieomgeving schrijven. Mensen die de software klaarzetten voor productie, mogen niet in de test- of ontwikkelomgeving komen. Als er een uitzondering nodig is, bijvoorbeeld bij een noodgeval, moet de systeemeigenaar dat eerst goedkeuren, en we houden bij wat er gebeurt met extra controle (zoals twee mensen die meekijken).;We kijken regelmatig, minstens één keer per jaar, of ons beleid over toegang goed werkt. We schrijven op wat we vinden en maken het beter als dat nodig is. Als er een uitzondering is geweest, controleren we achteraf wat er gebeurd is en of het klopte. Dit helpt ons om alles veilig te houden.;We gebruiken slimme systemen die in realtime kijken wie wat doet in de productieomgeving, zoals een SIEM-tool. Zo zien we meteen als er iets fout gaat. Uitzonderingen op ons beleid melden we elke maand aan het schoolbestuur, zodat zij weten wat er speelt. Dit maakt ons werk veiliger en beter gecontroleerd.
SD.03;Het schoolbestuur beschikt over beheersmaatregelen om te zorgen dat dataconversie accuraat en volledig is. Deze dataconversiecontroles zijn opgesteld om de data-integriteit gedurende het conversieproces te behouden.;Er is geen manier om te controleren of dataconversie goed gaat. We kijken niet of gegevens kloppen of compleet zijn als we ze overzetten.;We hebben een paar simpele manieren om te checken of dataconversie goed gaat, maar die zijn niet officieel vastgelegd. Soms kijken we of alles klopt, maar dat is niet altijd goed geregeld en we schrijven het niet op.;Voordat we gegevens overzetten, doen we een analyse van de risico’s en hoe groot de impact is. Op basis daarvan maken we een plan om te zorgen dat alles goed en volledig overkomt. Dit plan is officieel goedgekeurd door de systeemeigenaar. We controleren of de gegevens kloppen en niet beschadigd raken, met zowel handmatige als automatische checks. Als alles klaar is, kijkt de systeemeigenaar of het goed is gegaan en keurt het goed. We schrijven alles op wat we doen.;We kijken na elke dataconversie hoe het ging, samen met het projectteam. We schrijven op wat goed ging en wat beter kan, zodat we daarvan leren voor de volgende keer. Dit doen we minstens één keer per project, zodat we steeds beter worden in het overzetten van gegevens.;Ons plan om gegevens over te zetten zit vast in hoe we projecten doen. We gebruiken systemen die automatisch controleren of alles goed en volledig is, zodat we bijna nooit met de hand hoeven in te grijpen. Dit maakt het werk sneller en veiliger, en we weten zeker dat onze gegevens altijd kloppen.
DM.01;De organisatie beschikt over procedures en hulpmiddelen om de verantwoordelijkheid voor en eigenaarschap van informatie en informatiesystemen aan te wijzen. Eigenaren beslissen over het classificeren van informatie en informatiesystemen en beschermen ze in overeenstemming met deze classificatie.;Er is geen officieel beleid over wie verantwoordelijk is voor informatie of systemen. Niemand weet wie wat moet doen, en het eigenaarschap is niet geregeld.;We hebben een beleid dat zegt wie verantwoordelijk is voor informatie en systemen, en wat hun taken zijn. Maar dit is niet overal in de organisatie duidelijk, en niet alle gegevens of systemen hebben een eigenaar.;Ons beleid over wie verantwoordelijk is voor informatie en systemen is officieel vastgelegd en gedeeld met iedereen. Het zegt precies wie wat doet en wie de eigenaar is. Dit helpt om informatie goed te beschermen, systemen efficiënt te gebruiken en snel keuzes te maken over beveiliging. We zorgen dat dit beleid vooral geldt voor de belangrijkste gegevens en systemen, en iedereen weet ervan.;Ons beleid geldt nu voor alles: alle systemen, onze architectuur en hoe we gegevens delen binnen en buiten de organisatie. We controleren regelmatig, minstens één keer per jaar, of de eigenaren hun werk goed doen en of alles nog klopt. Als er iets verandert, passen we het aan.;We vertellen het schoolbestuur elk jaar hoe goed we ons beleid volgen, met een rapport. We kijken ook elk jaar of het beleid nog goed is, maken het beter en laten het opnieuw goedkeuren. Dit zorgt dat we altijd weten wie wat doet en dat alles veilig blijft.
DM.02;Er is een dataclassificatieschema dat voor de hele organisatie geldt. Hierin staat hoe kritisch en gevoelig (bijvoorbeeld openbaar, vertrouwelijk, geheim) organisatiegegevens zijn. Het dataclassificatieschema wordt gebruikt als basis voor het toepassen van maatregelen zoals toegangscontrole, archivering en versleuteling. Een dataclassificatieschema bevat daarom details over het eigenaarschap van gegevens, passende (informatie)beveiligingsniveaus en beschermingsmaatregelen en een korte beschrijving van eisen voor het bewaren en vernietigen van gegevens en een beschrijving van de gevoeligheid.;We hebben geen schema om gegevens in te delen. We maken geen verschil tussen wat gevoelig is en wat niet.;We delen gegevens informeel in, maar dat is niet vastgelegd. Iedereen doet het anders, en eigenaren beslissen zelf hoe gevoelig iets is en of er extra bescherming nodig is.;We hebben een officieel schema om gegevens in te delen, dat overal in de organisatie geldt. Het is goedgekeurd door het schoolbestuur. In dit schema staat wie de eigenaar is, hoe gevoelig gegevens zijn (zoals openbaar of geheim), hoe we ze beveiligen, en hoe lang we ze bewaren of wanneer we ze vernietigen. Dit gebruiken we om te beslissen over toegang, opslag en beveiliging voor belangrijke processen.;Ons schema geldt voor alles wat we doen en alle systemen die we hebben. We controleren regelmatig, minstens één keer per jaar, of het schema goed werkt en of alles klopt. Als er iets niet goed is, passen we het aan, zodat we zeker weten dat onze gegevens altijd goed beschermd zijn.;We gebruiken slimme systemen en dashboards die automatisch laten zien hoe we gegevens indelen en beschermen. Dit zit vast in hoe we met informatie omgaan, van begin tot eind. Zo weten we altijd precies wat er met onze gegevens gebeurt en houden we ze veilig.
DM.03;Beleid en procedures zijn vastgesteld en ingevoerd om informatiebeveiligingseisen te identificeren en toe te passen op de ontvangst, verwerking, opslag en doorgifte van relevante gegevens. Dit is in lijn met de doelstellingen van de school, het informatiebeveiligingsbeleid en wettelijke vereisten, bijvoorbeeld privacy van bepaalde gegevens.;Er is geen beleid over hoe we gegevens veilig moeten behandelen. We doen niets speciaals als we gegevens krijgen, verwerken, opslaan of doorsturen.;We hebben een paar simpele, informele ideeën over hoe we gegevens veilig moeten houden, maar dat is niet officieel en geldt niet overal in de organisatie.;We hebben een officieel beleid dat zegt hoe we gegevens veilig moeten krijgen, verwerken, opslaan en doorsturen. Dit is goedgekeurd door het schoolbestuur en gedeeld met iedereen. We kijken welke gegevens gevoelig zijn en hoe we die moeten beschermen, volgens onze doelen en de wet (zoals privacyregels). We maken afspraken met eigenaren over hoe we gegevens indelen en wie erbij mag. Dit geldt vooral voor belangrijke systemen.;We controleren regelmatig, minstens één keer per jaar, of ons beleid goed werkt en of we het echt volgen. We hebben eisen voor alle systemen, zoals hoe we ze fysiek beveiligen, back-ups maken en in de cloud opslaan. We trainen medewerkers zodat ze snappen waarom dit belangrijk is en hoe ze veilig met gegevens moeten omgaan.;Ons beleid over veilige gegevens zit vast in hoe we met informatie omgaan, van begin tot eind. We denken ook aan hoe we het efficiënter en goedkoper kunnen doen. Dit helpt ons om altijd goed en veilig te werken, en we passen het aan als er iets verandert in wat we nodig hebben.
DM.04;Er zijn procedures gedefinieerd en ingevoerd om gegevens effectief en efficiënt op te slaan, te bewaren en te archiveren. Daarmee voldoet de school aan de organisatiedoelstellingen, het informatiebeveiligingsbeleid en wettelijke vereisten.;Er is geen vaste manier om gegevens op te slaan, te bewaren of te archiveren. Alles ligt door elkaar en we doen het zonder plan.;We hebben een paar simpele regels over hoe we gegevens opslaan, maar die zijn niet officieel. Voor bewaren en archiveren hebben we wat losse ideeën, maar niets vasts.;We hebben een officieel plan om gegevens goed op te slaan, te bewaren en te archiveren. Dit past bij wat we nodig hebben voor ons werk, ons beveiligingsbeleid en de wet. We hebben vastgelegd hoe we dit doen, bijvoorbeeld met welke technieken, en dat gebruiken we overal. Zo zorgen we dat alles goed geregeld is en veilig blijft.;We kijken regelmatig, minstens één keer per jaar, of ons plan nog past bij wat we willen bereiken. We controleren ook of we het echt goed doen en maken het beter als dat nodig is. We gebruiken slimme manieren, zoals het apart houden van lezen en schrijven (CQRS), om alles overzichtelijk te houden.;Ons plan voor opslag en bewaring zit vast in hoe we met gegevens omgaan, van begin tot eind. We kijken steeds of het goed werkt en niet te duur is, en melden dat aan het schoolbestuur. We gebruiken technieken zoals Event Sourcing om alles nog beter te volgen en te beheren.
DM.05;Er zijn beleid en procedures vastgesteld en ingevoerd om aan de eisen van de bescherming van gegevens en software te voldoen op het moment dat gegevens en software worden uitgewisseld binnen de school of met een externe partij. Gevoelige gegevens worden alleen uitgewisseld via een vertrouwd pad of medium waarbij maatregelen zijn genomen om de authenticiteit van de inhoud, bewijs van versturen, bewijs van ontvangst en onweerlegbaarheid van de oorsprong aan te tonen.;Er is geen beleid over hoe we gegevens of software delen. We hebben wel een veilige manier om bestanden te sturen, maar die gebruiken we niet altijd en er zijn geen vaste regels.;We hebben een simpele, informele regel dat iedereen binnen de school de veilige manieren moet gebruiken die we hebben om gegevens te delen, maar dat is niet officieel en we controleren het niet.;We hebben een officieel beleid (IBP-beleid) dat zegt hoe we gegevens en software veilig delen, binnen de school en met anderen buiten. Dit is goedgekeurd door het schoolbestuur en iedereen weet ervan. We delen gegevens op basis van hoe gevoelig ze zijn, en als ze naar buiten gaan, maken we ze eerst onleesbaar (versleuteld). We kijken in de systemen of alles goed gaat en stoppen het als er iets niet klopt. Dit doen we om alles veilig te houden.;Voordat we gevoelige gegevens sturen, controleren we met systemen of alles klopt. We kijken regelmatig, minstens één keer per jaar, of onze systemen en ons beleid goed werken, en maken ze beter als dat nodig is. Zo zorgen we dat het delen van gegevens altijd veilig en betrouwbaar is.;We gebruiken slimme systemen die meteen laten zien of het delen van gegevens goed gaat, met dashboards en automatische processen. Dit helpt ons om alles in de gaten te houden en snel te reageren als er iets mis is. We vertellen het schoolbestuur regelmatig hoe het gaat, zodat zij ook weten dat alles veilig is.
